Noise Strength,Text Detected,Accuracy
0.0001,1.0,100.0
0.0002,1.0,100.0
0.0003,1.0,100.0
0.0004,1.0,100.0
0.0005,1.0,100.0
0.0006,1.0,100.0
0.0007,1.0,100.0
0.0008,1.0,100.0
0.0009,1.0,100.0
0.001,1.0,100.0
0.002,1.0,100.0
0.003,1.0,100.0
0.004,1.0,100.0
0.005,1.0,100.0
0.006,1.0,100.0
0.007,1.0,100.0
0.008,1.0,100.0
0.009,1.0,100.0
0.01,1.0,100.0
0.02,1.0,100.0
0.03,1.0,100.0
0.04,1.0,100.0
0.05,1.0,100.0
0.06,1.0,100.0
0.07,1.0,100.0
0.08,1.0,100.0
0.09,1.0,100.0
0.1,1.0,100.0
0.11,1.0,100.0
0.12,1.0,100.0
0.13,1.0,91.66666666666667
0.14,1.0,91.66666666666667
0.15,1.0,83.33333333333333
0.16,1.0,100.0
0.17,1.0,100.0
0.18000000000000002,1.0,100.0
0.19000000000000003,1.0,100.0
0.2,1.0,93.75
0.21,1.0,100.0
0.22,1.0,100.0
0.23,1.0,100.0
0.24,1.0,100.0
0.25,1.0,91.66666666666667
0.26,1.0,91.66666666666667
0.27,1.0,75.0
0.28,1.0,91.66666666666667
0.29,1.0,66.66666666666667
0.3,1.0,81.25
0.31,1.0,75.0
0.32,1.0,100.0
0.33,0.6666666666666666,58.333333333333336
0.34,0.6666666666666666,58.333333333333336
0.3499999999999999,0.6666666666666666,66.66666666666667
0.36000000000000004,1.0,75.0
0.36999999999999994,1.0,91.66666666666667
0.38000000000000006,1.0,58.333333333333336
0.38999999999999996,1.0,91.66666666666667
0.4,1.0,93.75
0.41,1.0,100.0
0.42,0.6666666666666666,50.0
0.43,1.0,91.66666666666667
0.44,0.6666666666666666,58.333333333333336
0.45,0.6666666666666666,58.333333333333336
0.46,1.0,16.666666666666668
0.47,0.6666666666666666,58.333333333333336
0.48,0.3333333333333333,33.333333333333336
0.49,0.6666666666666666,41.666666666666664
0.5,0.75,50.0
0.51,0.6666666666666666,66.66666666666667
0.52,0.6666666666666666,41.666666666666664
0.53,0.6666666666666666,50.0
0.54,1.0,66.66666666666667
0.55,0.3333333333333333,33.333333333333336
0.56,0.6666666666666666,33.333333333333336
0.57,0.6666666666666666,25.0
0.58,0.3333333333333333,0.0
0.59,0.3333333333333333,16.666666666666668
0.6,0.25,18.75
0.61,0.6666666666666666,33.333333333333336
0.62,0.6666666666666666,16.666666666666668
0.63,0.3333333333333333,33.333333333333336
0.64,0.3333333333333333,33.333333333333336
0.65,0.6666666666666666,58.333333333333336
0.66,0.0,0.0
0.67,0.3333333333333333,25.0
0.68,0.0,0.0
0.69,0.3333333333333333,8.333333333333334
0.7,0.0,0.0
0.71,0.0,0.0
0.7200000000000001,0.0,0.0
0.73,0.0,0.0
0.7399999999999999,0.0,0.0
0.75,0.0,0.0
0.7600000000000001,0.3333333333333333,16.666666666666668
0.77,0.0,0.0
0.7799999999999999,0.0,0.0
0.79,0.0,0.0
0.8,0.0,0.0
0.81,0.0,0.0
0.82,0.0,0.0
0.83,0.0,0.0
0.84,0.0,0.0
0.85,0.0,0.0
0.86,0.0,0.0
0.87,0.0,0.0
0.88,0.3333333333333333,16.666666666666668
0.89,0.0,0.0
0.9,0.25,6.25
0.91,0.0,0.0
0.92,0.0,0.0
0.93,0.0,0.0
0.94,0.0,0.0
0.9499999999999998,0.0,0.0
0.96,0.0,0.0
0.9700000000000001,0.0,0.0
0.98,0.0,0.0
0.9899999999999999,0.0,0.0
1.0,0.0,0.0
